User,Email / Username,Role,Session,Status,Planned Session Start,Planned Session End,Actual Session Start,Actual Session End,Session Date,Joined,Left,Attendance Status,Grade,Sex,Race,Is Hispanic,School,District,Region,Program,Parents,Custom ID
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:16 PM,10:31 PM,,,03/16/2024,10:16 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:16 PM,10:31 PM,,,03/16/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:15 PM,10:30 PM,,,03/16/2024,10:15 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:15 PM,10:30 PM,,,03/16/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:16 PM,10:31 PM,10:16 PM,10:21 PM,03/15/2024,10:16 PM,10:16 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:16 PM,10:31 PM,10:16 PM,10:21 PM,03/15/2024,10:16 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:13 PM,10:28 PM,,,03/15/2024,10:13 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:13 PM,10:28 PM,,,03/15/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:12 PM,10:27 PM,,,03/15/2024,10:13 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:12 PM,10:27 PM,,,03/15/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:56 AM,11:11 AM,10:57 AM,11:02 AM,03/15/2024,10:56 AM,10:56 AM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:56 AM,11:11 AM,10:57 AM,11:02 AM,03/15/2024,10:57 AM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:52 AM,11:07 AM,,,03/15/2024,10:53 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:52 AM,11:07 AM,,,03/15/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:51 AM,11:06 AM,,,03/15/2024,10:51 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:51 AM,11:06 AM,,,03/15/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:18 PM,10:33 PM,10:19 PM,10:24 PM,03/14/2024,10:19 PM,10:19 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:18 PM,10:33 PM,10:19 PM,10:24 PM,03/14/2024,10:19 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:15 PM,10:30 PM,,,03/14/2024,10:15 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:15 PM,10:30 PM,,,03/14/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:14 PM,10:29 PM,,,03/14/2024,10:14 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:14 PM,10:29 PM,,,03/14/2024,,,Missed,,,,,,,,,Automation Parent,
Autoinstructor Booking,dbd2577f-25ad-4892-81ff-62e3608136f7@mailslurp.com,Instructor,test,Completed,12:15 AM,12:30 AM,12:15 AM,12:30 AM,03/12/2024,12:15 AM,12:30 AM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,test,Completed,12:15 AM,12:30 AM,12:15 AM,12:30 AM,03/12/2024,12:15 AM,12:30 AM,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,12:18 PM,12:33 PM,12:18 PM,12:23 PM,03/08/2024,12:18 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,12:18 PM,12:33 PM,12:18 PM,12:23 PM,03/08/2024,12:18 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,12:15 PM,12:30 PM,,,03/08/2024,12:15 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,12:15 PM,12:30 PM,,,03/08/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,12:13 PM,12:28 PM,,,03/08/2024,12:14 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,12:13 PM,12:28 PM,,,03/08/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,11:20 AM,11:35 AM,11:20 AM,11:25 AM,03/08/2024,11:20 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,11:20 AM,11:35 AM,11:20 AM,11:25 AM,03/08/2024,11:20 AM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,11:17 AM,11:32 AM,,,03/08/2024,11:17 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,11:17 AM,11:32 AM,,,03/08/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,11:15 AM,11:30 AM,,,03/08/2024,11:16 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,11:15 AM,11:30 AM,,,03/08/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,3:25 PM,3:40 PM,3:25 PM,3:30 PM,03/07/2024,3:25 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,3:25 PM,3:40 PM,3:25 PM,3:30 PM,03/07/2024,3:25 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,3:22 PM,3:37 PM,,,03/07/2024,3:22 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,3:22 PM,3:37 PM,,,03/07/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,3:21 PM,3:36 PM,,,03/07/2024,3:21 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,3:21 PM,3:36 PM,,,03/07/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:22 AM,10:37 AM,10:23 AM,10:27 AM,03/07/2024,10:22 AM,10:22 AM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:22 AM,10:37 AM,10:23 AM,10:27 AM,03/07/2024,10:23 AM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:19 AM,10:34 AM,,,03/07/2024,10:20 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:19 AM,10:34 AM,,,03/07/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:18 AM,10:33 AM,,,03/07/2024,10:18 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:18 AM,10:33 AM,,,03/07/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,5:11 PM,5:26 PM,5:12 PM,5:17 PM,03/06/2024,5:12 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,5:11 PM,5:26 PM,5:12 PM,5:17 PM,03/06/2024,5:12 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,5:09 PM,5:24 PM,,,03/06/2024,5:09 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,5:09 PM,5:24 PM,,,03/06/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,5:08 PM,5:23 PM,,,03/06/2024,5:08 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,5:08 PM,5:23 PM,,,03/06/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,1:33 PM,1:48 PM,1:34 PM,1:39 PM,03/06/2024,1:34 PM,1:34 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,1:33 PM,1:48 PM,1:34 PM,1:39 PM,03/06/2024,1:34 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,1:31 PM,1:46 PM,,,03/06/2024,1:31 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,1:31 PM,1:46 PM,,,03/06/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,1:30 PM,1:45 PM,,,03/06/2024,1:30 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,1:30 PM,1:45 PM,,,03/06/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,1:07 PM,1:22 PM,1:07 PM,1:12 PM,03/06/2024,1:07 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,1:07 PM,1:22 PM,1:07 PM,1:12 PM,03/06/2024,1:07 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,1:06 PM,1:21 PM,,,03/06/2024,1:06 PM,,Attended,,,,,,,,,,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,1:06 PM,1:21 PM,,,03/06/2024,1:06 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,1:06 PM,1:21 PM,,,03/06/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,1:06 PM,1:21 PM,,,03/06/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,12:28 PM,12:43 PM,12:29 PM,12:34 PM,03/06/2024,12:29 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,12:28 PM,12:43 PM,12:29 PM,12:34 PM,03/06/2024,12:29 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,12:24 PM,12:39 PM,,,03/06/2024,12:24 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,12:24 PM,12:39 PM,,,03/06/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,12:22 PM,12:37 PM,,,03/06/2024,12:22 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,12:22 PM,12:37 PM,,,03/06/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,11:59 AM,12:14 PM,12:00 PM,12:04 PM,03/06/2024,11:59 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,11:59 AM,12:14 PM,12:00 PM,12:04 PM,03/06/2024,12:00 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,11:56 AM,12:11 PM,,,03/06/2024,11:56 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,11:56 AM,12:11 PM,,,03/06/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,11:55 AM,12:10 PM,,,03/06/2024,11:55 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,11:55 AM,12:10 PM,,,03/06/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,9:36 AM,9:51 AM,9:36 AM,9:41 AM,03/06/2024,9:36 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,9:36 AM,9:51 AM,9:36 AM,9:41 AM,03/06/2024,9:36 AM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,9:35 AM,9:50 AM,,,03/06/2024,9:35 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,9:35 AM,9:50 AM,,,03/06/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,9:16 AM,9:31 AM,9:17 AM,9:21 AM,03/06/2024,9:16 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,9:16 AM,9:31 AM,9:17 AM,9:21 AM,03/06/2024,9:17 AM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,9:14 AM,9:29 AM,,,03/06/2024,9:14 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,9:14 AM,9:29 AM,,,03/06/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,9:13 AM,9:28 AM,,,03/06/2024,9:13 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,9:13 AM,9:28 AM,,,03/06/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,9:06 AM,9:21 AM,9:06 AM,9:11 AM,03/05/2024,9:06 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,9:06 AM,9:21 AM,9:06 AM,9:11 AM,03/05/2024,9:06 AM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,9:05 AM,9:20 AM,,,03/05/2024,9:05 AM,,Attended,,,,,,,,,,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,9:05 AM,9:20 AM,,,03/05/2024,9:05 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,9:05 AM,9:20 AM,,,03/05/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,9:05 AM,9:20 AM,,,03/05/2024,,,Missed,,,,,,,,,Automation Parent,
Autoinstructor Booking,dbd2577f-25ad-4892-81ff-62e3608136f7@mailslurp.com,Instructor,Test,Completed,12:15 AM,12:30 AM,12:15 AM,12:30 AM,03/05/2024,12:15 AM,12:30 AM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Test,Completed,12:15 AM,12:30 AM,12:15 AM,12:30 AM,03/05/2024,12:15 AM,12:30 AM,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,2:44 PM,2:59 PM,2:44 PM,2:49 PM,03/04/2024,2:44 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,2:44 PM,2:59 PM,2:44 PM,2:49 PM,03/04/2024,2:44 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,2:43 PM,2:58 PM,,,03/04/2024,2:43 PM,,Attended,,,,,,,,,,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,2:43 PM,2:58 PM,,,03/04/2024,2:43 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,2:43 PM,2:58 PM,,,03/04/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,2:43 PM,2:58 PM,,,03/04/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:58 AM,11:13 AM,10:58 AM,11:03 AM,03/04/2024,10:58 AM,10:58 AM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:58 AM,11:13 AM,10:58 AM,11:03 AM,03/04/2024,10:58 AM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:56 AM,11:11 AM,,,03/04/2024,10:56 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:56 AM,11:11 AM,,,03/04/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:55 AM,11:10 AM,,,03/04/2024,10:55 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:55 AM,11:10 AM,,,03/04/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,12:26 PM,12:41 PM,12:27 PM,12:31 PM,03/01/2024,12:26 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,12:26 PM,12:41 PM,12:27 PM,12:31 PM,03/01/2024,12:27 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,12:25 PM,12:40 PM,,,03/01/2024,12:25 PM,,Attended,,,,,,,,,,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,12:25 PM,12:40 PM,,,03/01/2024,12:26 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,12:25 PM,12:40 PM,,,03/01/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,12:25 PM,12:40 PM,,,03/01/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,9:21 PM,9:36 PM,9:21 PM,9:26 PM,02/27/2024,9:21 PM,9:21 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,9:21 PM,9:36 PM,9:21 PM,9:26 PM,02/27/2024,9:21 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,9:18 PM,9:33 PM,,,02/27/2024,9:18 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,9:18 PM,9:33 PM,,,02/27/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,9:16 PM,9:31 PM,,,02/27/2024,9:17 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,9:16 PM,9:31 PM,,,02/27/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,11:43 AM,11:58 AM,11:44 AM,11:48 AM,02/27/2024,11:43 AM,11:44 AM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,11:43 AM,11:58 AM,11:44 AM,11:48 AM,02/27/2024,11:44 AM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,11:40 AM,11:55 AM,,,02/27/2024,11:40 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,11:40 AM,11:55 AM,,,02/27/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,11:39 AM,11:54 AM,,,02/27/2024,11:39 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,11:39 AM,11:54 AM,,,02/27/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,10:56 AM,11:11 AM,10:57 AM,11:02 AM,02/27/2024,10:57 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,10:56 AM,11:11 AM,10:57 AM,11:02 AM,02/27/2024,10:57 AM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:53 AM,11:08 AM,,,02/27/2024,10:54 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:53 AM,11:08 AM,,,02/27/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,10:52 AM,11:07 AM,,,02/27/2024,10:52 AM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,10:52 AM,11:07 AM,,,02/27/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,9:20 PM,9:35 PM,9:20 PM,9:25 PM,02/26/2024,9:20 PM,9:20 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,9:20 PM,9:35 PM,9:20 PM,9:25 PM,02/26/2024,9:20 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,9:17 PM,9:32 PM,,,02/26/2024,9:17 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,9:17 PM,9:32 PM,,,02/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,9:15 PM,9:30 PM,,,02/26/2024,9:16 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,9:15 PM,9:30 PM,,,02/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,5:32 PM,5:47 PM,5:32 PM,5:37 PM,02/26/2024,5:32 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,5:32 PM,5:47 PM,5:32 PM,5:37 PM,02/26/2024,5:32 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,5:29 PM,5:44 PM,,,02/26/2024,5:29 PM,,Attended,,,,,,,,,,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,5:29 PM,5:44 PM,,,02/26/2024,5:29 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,5:29 PM,5:44 PM,,,02/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,5:29 PM,5:44 PM,,,02/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,3:57 PM,4:12 PM,3:57 PM,4:02 PM,02/26/2024,3:57 PM,3:57 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,3:57 PM,4:12 PM,3:57 PM,4:02 PM,02/26/2024,3:57 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,3:53 PM,4:08 PM,,,02/26/2024,3:54 PM,3:54 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,3:53 PM,4:08 PM,,,02/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,3:52 PM,4:07 PM,,,02/26/2024,3:52 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,3:52 PM,4:07 PM,,,02/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,2:45 PM,3:00 PM,2:45 PM,2:50 PM,02/26/2024,2:45 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,2:45 PM,3:00 PM,2:45 PM,2:50 PM,02/26/2024,2:45 PM,,Attended,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,2:44 PM,2:59 PM,,,02/26/2024,2:44 PM,,Attended,,,,,,,,,,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Math,Missed,2:44 PM,2:59 PM,,,02/26/2024,2:44 PM,,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,2:44 PM,2:59 PM,,,02/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Student,aaron+auto-student@workwithloop.com,Student,Math,Missed,2:44 PM,2:59 PM,,,02/26/2024,,,Missed,,,,,,,,,Automation Parent,
Automation Instructor,aaron+autoinstructor2@workwithloop.com,Instructor,Title,Completed,2:10 PM,2:25 PM,2:11 PM,2:16 PM,02/26/2024,2:10 PM,2:11 PM,Attended,,,,,,,,,,
Automation Student,aaron+auto-student@workwithloop.com,Student,Title,Completed,2:10 PM,2:25 PM,2:11 PM,2:16 PM,02/26/2024,2:11 PM,,Attended,,,,,,,,,Automation Parent,
